"01.01.2014","No data available"
"31.12.2014","No data available"
"01.01.2015","No data available"
"31.12.2015","No data available"
"01.01.2016","No data available"
"31.12.2016","No data available"
"01.01.2017","No data available"
"31.12.2017","No data available"
"01.01.2020","No data available"
"31.12.2020","No data available"
"01.01.2021","No data available"
"31.12.2021","No data available"
"29.12.2022","","","","","","0","0","0"
"28.12.2022","","","","","","0","0","0"
"27.12.2022","","","","","","0","0","0"
"26.12.2022","","","","","","0","0","0"
"23.12.2022","","","","","","0","0","0"
"22.12.2022","","","","","","0","0","0"
"21.12.2022","","","","","","0","0","0"
"20.12.2022","","","","","","0","0","0"
"19.12.2022","","","","","","0","0","0"
"16.12.2022","","","","","","0","0","0"
"15.12.2022","","","","","","0","0","0"
"14.12.2022","","","","","","0","0","0"
"13.12.2022","","","","","","0","0","0"
"12.12.2022","","","","","","0","0","0"
"09.12.2022","","","","","","0","0","0"
"07.12.2022","","","","","","0","0","0"
"06.12.2022","","","","","","0","0","0"
"05.12.2022","","","","","","0","0","0"
"02.12.2022","","","","","","0","0","0"
"01.12.2022","","","","","","0","0","0"
"30.11.2022","","","","","","0","0","0"
"29.11.2022","","","","","","0","0","0"
"28.11.2022","","","","","","0","0","0"
"25.11.2022","","","","","","0","0","0"
"24.11.2022","","","","","","0","0","0"
"23.11.2022","","","","","","0","0","0"
"22.11.2022","","","","","","0","0","0"
"21.11.2022","","","","","","0","0","0"
"18.11.2022","","","","","","0","0","0"
"17.11.2022","","","","","","0","0","0"
"16.11.2022","","","","","","0","0","0"
"15.11.2022","","","","","","0","0","0"
"14.11.2022","","","","","","0","0","0"
"11.11.2022","","","","","","0","0","0"
"10.11.2022","","","","","","0","0","2.782.500"
"09.11.2022","","","","","","0","0","0"
"01.01.2023","No data available"
"31.12.2023","No data available"
