"16.12.2014","30,00","30,00","30,00","30,00","0,00","455","13.650","13.650"
"04.12.2014","30,00","30,00","30,00","30,00","0,00","600","18.000","18.000"
"20.10.2014","30,00","30,00","30,00","30,00","0,00","20","600","600"
"22.8.2014","30,00","30,00","30,00","30,00","0,00","120","3.600","3.600"
"18.8.2014","30,00","30,00","30,00","30,00","0,00","1.749","52.470","52.470"
"14.8.2014","30,00","30,00","30,00","30,00","0,00","70","2.100","2.100"
"21.7.2014","30,00","30,00","30,00","30,00","0,00","16","480","480"
"04.7.2014","30,00","30,00","30,00","30,00","0,00","200","6.000","6.000"
"26.6.2014","30,00","30,00","30,00","30,00","0,00","1.235","37.050","37.050"
"24.4.2014","30,00","30,00","30,00","30,00","0,00","252","7.560","7.560"
"18.3.2014","30,00","30,00","30,00","30,00","0,00","1.687","50.610","50.610"
"12.3.2014","30,00","30,00","30,00","30,00","0,00","390","11.700","11.700"
"04.3.2014","30,00","30,00","30,00","30,00","0,00","1.232","36.960","36.960"
"03.3.2014","30,00","30,00","30,00","30,00","0,00","95","2.850","2.850"
"27.2.2014","30,00","30,00","30,00","30,00","0,00","16","480","480"
"28.12.2015","30,00","30,00","30,00","30,00","0,00","24","720","720"
"23.11.2015","30,00","30,00","30,00","30,00","0,00","13","390","390"
"24.6.2015","30,00","30,00","30,00","30,00","0,00","18","540","540"
"21.5.2015","30,00","30,00","30,00","30,00","0,00","1.247","37.410","37.410"
"15.4.2015","30,00","30,00","30,00","30,00","0,00","23","690","690"
"12.2.2015","30,00","30,00","30,00","30,00","0,00","30","900","900"
"28.12.2016","30,00","30,00","30,00","30,00","0,00","4.899","146.970","146.970"
"18.11.2016","30,00","30,00","30,00","30,00","0,00","15","450","450"
"28.3.2016","30,00","30,00","30,00","30,00","0,00","1.922","57.660","57.660"
"22.3.2016","30,00","30,00","30,00","30,00","0,00","24","720","720"
"04.3.2016","30,00","30,00","30,00","30,00","0,00","26","780","780"
